year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,93.21,5,0,0,1,0.00,0.00,100.00,0.00,0.00,48.35,48.35,4,1960,Sweden,18/09/1960,85.9,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Sweden,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Sweden,13.8,0.69,0.68,3.26,3.12,0.14,0.04,2.04,1960,Sweden,0.79,-1.03,3.47,48.1,5.61,2.04,0.35,2.0,1.7,1.5,1.0,0.29,,,,1960,Sweden,0,1,0,0,2,3,0,1,1960,Sweden,,42.98,32.95,35.02,,,4.14,,23.69,2.07,2.22,,5.31,,1960,Sweden,3662.00,3662.00,3599.00,,,564.00,1452.00,1583.00,69.30,1.90,1960,Sweden,31.00,1.50,18.50,5.05,1991.60,1909.14,72.08,75.00,1991.60,1909.14,72.08,75.00,1960,Sweden,8.00,,,,,,,,,,,,,1960,Sweden,,,,,,,,,,,,,,,,,1960,Sweden,,,,,,7484.66,4926.45,879.47,11.75,1960,Sweden
1961,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,92.86,5,0,0,0,0.00,0.00,100.00,0.00,0.00,49.10,49.10,4,1961,Sweden,,85.9,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Sweden,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Sweden,13.8,0.69,0.68,3.26,3.12,0.14,0.04,2.04,1961,Sweden,,,,,,,,,,,,,,,,1961,Sweden,0,1,0,0,2,3,0,1,1961,Sweden,,40.76,32.82,36.39,5.68,8.79,2.16,,24.25,3.56,3.58,,5.46,,1961,Sweden,3688.00,3688.00,3633.00,,,535.00,1479.00,1619.00,58.70,1.60,1961,Sweden,12.00,0.10,2.10,0.57,2038.60,1950.14,72.40,,2038.60,1950.14,72.40,75.00,1961,Sweden,8.00,,,,,,,,,,,,,1961,Sweden,,,,,,,,,,,,,,,,,1961,Sweden,,,,,,7520.00,4970.77,898.12,11.94,1961,Sweden
1962,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,92.86,5,0,0,0,0.00,0.00,100.00,0.00,0.00,49.10,49.10,4,1962,Sweden,,85.9,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Sweden,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Sweden,13.8,0.69,0.68,3.26,3.12,0.14,0.04,2.04,1962,Sweden,,,,,,,,,,,,,,,,1962,Sweden,0,1,0,0,2,3,0,1,1962,Sweden,,40.06,33.84,37.99,4.26,8.45,4.77,,21.45,4.15,4.06,,5.11,,1962,Sweden,3712.00,3712.00,3657.00,,,520.00,1493.00,1644.00,59.10,1.60,1962,Sweden,10.00,3.50,5.00,1.35,2092.99,1998.19,72.93,,2092.99,1998.19,72.93,75.00,1962,Sweden,8.20,,,,,,,,,,,,,1962,Sweden,,,,,,,,,,,,,,,,,1962,Sweden,,,,,,7561.59,5015.32,917.45,12.13,1962,Sweden
1963,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,92.86,5,0,0,0,0.00,0.00,100.00,0.00,0.00,49.10,49.10,4,1963,Sweden,,85.9,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Sweden,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Sweden,13.8,0.69,0.68,3.26,3.12,0.14,0.04,2.04,1963,Sweden,,,,,,,,,,,,,,,,1963,Sweden,0,1,0,0,2,3,0,1,1963,Sweden,,40.22,35.67,38.36,5.33,8.24,2.87,,19.30,2.69,2.48,,5.04,,1963,Sweden,3720.00,3720.00,3658.00,73.61,72.38,473.00,1501.00,1684.00,70.40,1.90,1963,Sweden,24.00,2.80,25.00,6.72,2139.79,2031.55,66.07,,2139.79,2031.55,66.07,75.00,1963,Sweden,8.80,,,,,,,,,,,,,1963,Sweden,,,,,,,,,,,,,,,,,1963,Sweden,,,,,,7604.33,5054.15,937.09,12.32,1963,Sweden
1964,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,94.59,5,0,0,1,0.00,0.00,100.00,0.00,0.00,48.95,48.95,4,1964,Sweden,20/09/1964,83.9,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1964,Sweden,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1964,Sweden,13.3,0.71,0.69,3.43,3.25,0.18,0.05,1.83,1964,Sweden,,,,,,,,,,,,,,,,1964,Sweden,0,1,0,0,2,3,0,1,1964,Sweden,,40.92,35.73,38.45,6.82,11.52,3.39,,17.44,2.73,2.51,,5.77,,1964,Sweden,3718.00,3718.00,3660.00,73.00,71.86,454.00,1526.00,1680.00,66.70,1.80,1964,Sweden,14.00,1.90,34.00,9.14,2182.31,2075.82,66.73,,2182.31,2075.82,66.73,75.00,1964,Sweden,8.70,,,,,,,,,,,,,1964,Sweden,,,,,,,,,,,,,,,,,1964,Sweden,,,,,,7661.35,5093.28,957.95,12.50,1964,Sweden
1965,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,48.50,48.50,4,1965,Sweden,,83.9,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1965,Sweden,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1965,Sweden,13.3,0.71,0.69,3.43,3.25,0.18,0.05,1.83,1965,Sweden,,,,,,,,,,,,,,,,1965,Sweden,0,1,0,0,2,3,0,1,1965,Sweden,,41.09,36.56,40.99,3.82,10.04,5.01,,15.89,4.43,4.14,,6.33,,1965,Sweden,3742.00,3742.00,3698.00,72.90,72.03,418.00,1584.00,1696.00,48.40,1.30,1965,Sweden,8.00,0.30,4.10,1.10,2212.12,2103.26,66.29,75.00,2212.12,2103.26,66.29,75.00,1965,Sweden,9.20,,,,,,,,,,,,,1965,Sweden,,,,,,,,,,,,,,,,,1965,Sweden,,,,,,7733.85,5133.81,980.41,12.68,1965,Sweden
1966,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,48.50,48.50,4,1966,Sweden,,83.9,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1966,Sweden,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1966,Sweden,13.3,0.71,0.69,3.43,3.25,0.18,0.05,1.83,1966,Sweden,,,,,,,,,,,,,,,,1966,Sweden,0,1,0,0,2,3,0,1,1966,Sweden,,40.13,38.51,42.46,2.09,8.78,6.40,,14.92,3.95,3.67,,6.73,,1966,Sweden,3792.00,3793.00,3733.00,73.37,72.23,373.00,1556.00,1804.00,64.20,1.70,1966,Sweden,26.00,29.40,351.60,92.72,2275.80,2136.07,65.95,,2275.80,2136.07,65.95,75.60,1966,Sweden,9.50,,,,,,,,,,,,,1966,Sweden,,,,,,,,,,,,,,,,,1966,Sweden,,,,,,7807.80,5167.95,1005.17,12.87,1966,Sweden
1967,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,48.50,48.50,4,1967,Sweden,,83.9,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1967,Sweden,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1967,Sweden,13.3,0.71,0.69,3.43,3.25,0.18,0.05,1.83,1967,Sweden,,,,,,,,,,,,,,,,1967,Sweden,0,1,0,0,2,3,0,1,1967,Sweden,,38.96,39.75,43.21,3.37,8.54,4.29,,15.01,3.46,3.13,,6.21,,1967,Sweden,3775.00,3775.00,3695.00,72.75,71.20,366.00,1526.00,1803.00,90.30,2.40,1967,Sweden,7.00,0.10,0.40,0.11,2325.86,2166.97,67.49,,2325.86,2166.97,67.49,76.20,1967,Sweden,10.20,,,,,,,,,,,,,1967,Sweden,,,,,,,,,,,,,,,,,1967,Sweden,,,36.10,32.30,26.30,7867.93,5189.26,1029.63,13.09,1967,Sweden
1968,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,49.81,49.81,4,1968,Sweden,15/09/1968,89.3,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1968,Sweden,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1968,Sweden,15.5,0.69,0.65,3.19,2.88,0.31,0.10,2.81,1968,Sweden,,,,,,,,,,,,,,,,1968,Sweden,0,1,0,0,2,3,0,1,1968,Sweden,,39.94,41.81,45.59,3.64,6.12,1.94,,16.41,3.77,3.33,,6.45,,1968,Sweden,3822.00,3822.00,3737.00,73.46,71.81,340.00,1537.00,1860.00,95.20,2.50,1968,Sweden,7.00,0.40,1.20,0.31,2403.80,2204.73,67.92,,2403.80,2204.73,67.92,76.80,1968,Sweden,10.60,,,,,,,,,,,,,1968,Sweden,,,,,,,,,,,,,,,,,1968,Sweden,,,,,,7912.27,5204.02,1051.61,13.29,1968,Sweden
1969,Sweden,33,SWE,752,1,0,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,53.60,53.60,1,1969,Sweden,,89.3,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1969,Sweden,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1969,Sweden,15.5,0.69,0.65,3.19,2.88,0.31,0.10,2.81,1969,Sweden,,,,,,,,,,,,,0.59,0.45,0.54,1969,Sweden,0,1,0,0,2,3,0,1,1969,Sweden,,42.48,41.74,46.23,5.01,8.60,2.69,,16.41,4.49,3.93,,7.14,,1969,Sweden,3855.00,3855.00,3782.00,73.71,72.32,322.00,1533.00,1927.00,80.60,2.10,1969,Sweden,41.00,9.00,112.40,29.16,2489.70,2268.08,68.52,,2489.70,2268.08,68.52,77.40,1969,Sweden,11.00,,,,,,,,,,,,,1969,Sweden,,,,,,,,,,,,,,,,,1969,Sweden,,,,,,7968.07,5229.77,1073.70,13.48,1969,Sweden
